employee_num,desk_id,desk_id_start_date,desk_id_end_date,termination_flag,promotion_flag
16684,1,1999-01-01,2999-01-01,0,0
29068,2,1999-01-01,2002-10-01,0,0
19507,3,1999-01-01,2003-07-04,0,0
7504,4,1999-01-01,2002-04-04,0,0
2549,5,1999-01-01,2000-07-31,0,0
8869,6,1999-01-01,2003-05-15,0,0
21041,7,1999-01-01,2000-07-30,0,0
9968,8,1999-01-01,1999-11-11,0,0
34070,9,1999-01-01,2001-05-07,0,0
1265,10,1999-01-01,2003-05-08,1,0
6773,11,1999-01-01,2001-06-07,0,0
8878,12,1999-01-01,2001-04-04,1,0
41637,13,1999-01-01,2002-05-14,0,0
17198,14,1999-01-01,2000-02-12,0,0
21103,15,1999-01-01,2001-01-01,0,0
14721,16,1999-01-01,2001-11-21,1,0
12427,17,1999-01-01,2001-10-12,0,0
44398,18,1999-01-01,2004-05-30,0,0
36559,19,1999-01-01,2003-01-01,0,0
8204,20,1999-01-01,2002-03-15,0,0
29364,21,1999-01-01,2004-05-21,1,0
44462,22,1999-01-01,2000-06-21,1,0
39087,23,1999-01-01,2001-06-30,0,0
24685,24,1999-01-01,2001-02-04,0,0
7647,25,1999-01-01,2002-04-04,0,0
11516,26,1999-01-01,2003-09-06,1,0
23737,27,1999-01-01,1999-11-11,0,0
30754,28,1999-01-01,1999-12-17,0,0
41572,29,1999-01-01,1999-10-13,0,0
3247,30,1999-01-01,2002-08-06,1,0
12121,31,1999-01-01,2000-04-15,0,0
15347,32,1999-01-01,2001-03-03,0,0
38813,33,1999-01-01,1999-10-28,0,0
28423,34,1999-01-01,2003-05-28,0,0
40369,35,1999-01-01,2000-07-21,0,0
23720,36,1999-01-01,2003-05-22,0,0
10325,37,1999-01-01,2000-02-20,0,0
40958,38,1999-01-01,2003-04-19,0,0
4825,39,1999-01-01,2000-04-26,0,0
29868,40,1999-01-01,2001-06-23,0,0
17182,41,1999-01-01,2001-11-07,1,0
41691,42,1999-01-01,2001-08-10,0,0
17617,43,1999-01-01,2002-06-26,0,0
37883,44,1999-01-01,1999-10-16,0,0
9506,45,1999-01-01,2001-05-09,0,0
41788,46,1999-01-01,2002-04-16,1,0
2927,47,1999-01-01,2000-06-22,0,0
23835,48,1999-01-01,2001-03-03,0,0
28900,49,1999-01-01,2001-09-26,0,0
25238,50,1999-01-01,2002-06-13,0,0
17058,51,1999-01-01,1999-12-27,0,0
39655,52,1999-01-01,1999-10-19,0,0
26045,53,1999-01-01,1999-09-06,0,0
13009,54,1999-01-01,2003-12-30,0,0
28108,55,1999-01-01,2000-03-31,1,0
25496,56,1999-01-01,2001-05-26,0,0
43842,57,1999-01-01,2001-01-02,0,0
38756,58,1999-01-01,2000-07-13,0,0
920,59,1999-01-01,2000-10-31,0,0
13707,60,1999-01-01,2001-03-12,1,0
6182,61,1999-01-01,2001-10-27,0,0
9139,62,1999-01-01,2000-12-13,0,0
35186,63,1999-01-01,2000-08-07,0,0
37935,64,1999-01-01,2001-11-11,0,0
7813,65,1999-01-01,2003-03-30,1,0
18460,66,1999-01-01,2001-05-04,1,0
9137,67,1999-01-01,2000-09-04,0,0
22478,68,1999-01-01,2001-09-17,0,0
19712,69,1999-01-01,2001-08-16,1,0
28023,70,1999-01-01,2001-11-16,0,0
20772,71,1999-01-01,2000-03-04,0,0
13002,72,1999-01-01,2002-07-13,0,0
11057,73,1999-01-01,2003-04-18,0,0
34276,74,1999-01-01,2004-05-12,0,0
34746,75,1999-01-01,2000-11-09,0,0
25445,76,1999-01-01,2000-11-08,1,0
42759,77,1999-01-01,2002-04-11,0,0
27700,78,1999-01-01,2001-07-27,1,0
1769,79,1999-01-01,2000-10-18,0,0
30063,80,1999-01-01,1999-12-15,1,0
28041,81,1999-01-01,2000-12-19,0,0
11445,82,1999-01-01,1999-06-07,0,0
34462,83,1999-01-01,2001-08-22,0,0
44986,84,1999-01-01,2001-05-19,0,0
25876,85,1999-01-01,2003-08-20,0,0
38071,86,1999-01-01,2000-03-03,1,0
42650,87,1999-01-01,2000-07-11,0,0
10091,88,1999-01-01,2000-11-13,0,0
5418,89,1999-01-01,2004-03-07,0,0
23459,90,1999-01-01,2003-07-05,1,0
26369,91,1999-01-01,2000-04-18,1,0
14467,92,1999-01-01,2000-08-22,0,0
8177,93,1999-01-01,2001-02-24,0,0
3480,94,1999-01-01,2001-12-29,0,0
43343,95,1999-01-01,2002-06-09,0,0
31485,96,1999-01-01,2004-06-25,0,0
28241,97,1999-01-01,1999-08-07,0,0
9306,98,1999-01-01,2002-07-23,0,0
44328,99,1999-01-01,2001-07-01,0,0
5123,100,1999-01-01,2003-01-06,0,0
29950,101,1999-01-01,2002-01-05,0,0
